Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
1,LEXUS,2010,3.5,Hybrid,Automatic,115578,Jeep,13328,RX 450
2,CHEVROLET,2011,3.0,Petrol,Tiptronic,119303,Jeep,16621,Equinox
3,HONDA,2006,1.3,Petrol,Variator,124274,Hatchback,8467,FIT
4,FORD,2011,2.5,Hybrid,Automatic,104991,Jeep,3607,Escape
5,HONDA,2014,1.3,Petrol,Automatic,57105,Hatchback,11726,FIT
6,HYUNDAI,2016,2.0,Diesel,Automatic,99998,Jeep,39493,Santa FE
7,TOYOTA,2010,1.8,Hybrid,Automatic,160879,Hatchback,1803,Prius
8,LEXUS,2007,3.5,Petrol,Automatic,79846,Jeep,26657,RX 350
9,OPEL,1997,1.6,CNG,Manual,217480,Goods wagon,3000,Vectra
10,LEXUS,2013,3.5,Hybrid,Automatic,85773,Jeep,1019,RX 450
11,HYUNDAI,2016,2.0,Diesel,Automatic,47224,Jeep,59464,Santa FE
12,HYUNDAI,2016,1.8,Petrol,Automatic,75708,Sedan,7683,Elantra
13,HYUNDAI,2016,1.8,Petrol,Automatic,33751,Sedan,28382,Elantra
14,HYUNDAI,2012,1.6,Petrol,Automatic,69994,Sedan,18826,Elantra
15,TOYOTA,2012,1.8,Plug-in Hybrid,Automatic,116196,Sedan,20698,Prius
16,TOYOTA,2017,2.5,Petrol,Automatic,24674,Sedan,17562,Camry
17,FORD,2001,2.0,Diesel,Manual,142915,Microbus,7840,Transit
18,MERCEDES-BENZ,2006,2.2,Diesel,Tiptronic,130488,Sedan,20385,E 220
19,HYUNDAI,2011,1.6,Petrol,Automatic,98666,Sedan,14454,Elantra
20,MERCEDES-BENZ,2007,2.0,Diesel,Manual,111847,Goods wagon,15681,Vito
21,PORSCHE,2014,3.0,Diesel,Automatic,108775,Jeep,19444,Cayenne
22,BMW,2000,4.4,CNG,Automatic,124274,Jeep,6899,X5
23,JEEP,2007,3.0,Diesel,Tiptronic,155343,Jeep,24462,Grand Cherokee
24,HYUNDAI,2011,2.0,Diesel,Automatic,100662,Jeep,23235,Santa FE
25,TOYOTA,2019,2.0,Petrol,Tiptronic,6338,Jeep,51746,CHR Limited
26,HONDA,2010,1.3,Hybrid,Automatic,98177,Hatchback,7527,FIT
27,HYUNDAI,2012,1.6,Petrol,Automatic,64306,Sedan,19121,Elantra
28,TOYOTA,2013,2.4,Petrol,Automatic,126263,Sedan,24462,Camry
29,HYUNDAI,2016,2.5,Diesel,Automatic,37939,Universal,45734,H1
30,VOLKSWAGEN,2016,1.4,Petrol,Tiptronic,6959,Sedan,20165,Jetta
31,HYUNDAI,2014,2.4,Hybrid,Tiptronic,87613,Sedan,21326,Sonata
32,TOYOTA,2012,1.5,Hybrid,Variator,79535,Hatchback,15681,Prius C
33,HYUNDAI,2017,2.0,Diesel,Automatic,62593,Jeep,55390,Santa FE
34,TOYOTA,2012,1.5,Hybrid,Automatic,87924,Hatchback,12544,Aqua
35,FORD,2008,2.3,Hybrid,Variator,91342,Jeep,17249,Escape Hybrid
36,HONDA,2016,2.0,Petrol,Automatic,54536,Sedan,34889,Civic
37,RENAULT,2008,1.5,Diesel,Manual,82358,Sedan,14583,Megane 1.5CDI
38,AUDI,2014,2.0,Petrol,Tiptronic,54059,Jeep,38500,Q5
39,MERCEDES-BENZ,2001,2.0,Petrol,Manual,161556,Coupe,8781,C 180
40,NISSAN,2015,1.6,Petrol,Automatic,54129,Jeep,1411,Juke
41,CHEVROLET,2018,1.4,Petrol,Automatic,13670,Sedan,23521,Cruze LT
42,FORD,2013,1.6,Petrol,Tiptronic,51574,Sedan,16935,Fusion
43,TOYOTA,2007,2.4,Petrol,Automatic,105633,Minivan,10349,VOXY
44,NISSAN,2013,1.6,Petrol,Automatic,193941,Jeep,7213,Juke
45,MERCEDES-BENZ,2004,1.6,Petrol,Tiptronic,80778,Sedan,5331,A 160
46,HYUNDAI,2013,2.0,Diesel,Automatic,124448,Jeep,20526,Tucson
47,HYUNDAI,2014,2.5,Diesel,Automatic,96109,Minivan,34657,H1
48,HYUNDAI,2016,2.5,Diesel,Automatic,68953,Minivan,36564,H1
49,TOYOTA,2001,1.5,Petrol,Manual,130488,Hatchback,5488,Vitz
50,HYUNDAI,2015,2.5,Diesel,Automatic,92028,Universal,30063,H1
51,CHEVROLET,2011,2.2,Diesel,Automatic,158733,Jeep,15800,Captiva
52,HYUNDAI,2017,2.5,Diesel,Automatic,69372,Universal,43952,H1
53,HYUNDAI,2016,2.0,Diesel,Automatic,52510,Jeep,53154,Santa FE
54,TOYOTA,2011,1.8,Hybrid,Automatic,178955,Hatchback,14740,Prius
55,FORD,2016,2.3,Petrol,Tiptronic,46603,Cabriolet,42337,Mustang
